1,2,3,4,5,6
Choose,Classify,Apply,Analyze,Agree,Adapt
Define,Compare,Build,Assume,Appraise,Build
Find,Contrast,Choose,Categorize,Assess,Change
How,Demonstrate,Construct,Classify,Award,Choose
Label,Explain,Develop,Compare,Choose,Combine
List,Extend,Experiment with,Conclusion,Compare,Compile
Match,Illustrate,Identify,Contrast,Conclude,Compose
Name,Infer,Interview,Discover,Criteria,Construct
Omit,Interpret,Make use of,Dissect,Criticize,Create
Recall,Outline,Model,Distinguish,Decide,Delete
Relate,Relate,Organize,Divide,Deduct,Design
Select,Rephrase,Plan,Examine,Defend,Develop
Show,Show,Select,Function,Determine,Discuss
Spell,Summarize,Solve,Inference,Disprove,Elaborate
Tell,Translate,Utilize,Inspect,Estimate,Estimate
What,,,List,Evaluate,Formulate
When,,,Motive,Explain,Happen
Where,,,Relationships,Importance,Imagine
Which,,,Simplify,Influence,Improve
Who,,,Survey,Interpret,Invent
Why,,,Take part in,Judge,Make-up
,,,Test for,Justify,Maximize
,,,Theme,Mark,Minimize
,,,,Measure,Modify
,,,,Opinion,Original
,,,,Perceive,Originate
,,,,Prioritize,Plan
,,,,Prove,Predict
,,,,Rate,Propose
,,,,Recommend,Solution
,,,,Rule on,Solve
,,,,Select,Suppose
,,,,Support,Test
,,,,Value,Theory
,,,,,Maximiz